Which age group do you belong to?;To which gender identity do you most identify?;Which of the following best describes your current employment status?;Which of the following best describes your role in your current organisation?;In my work environment I am responsible for managing or leading others.
26-35;Female;Full-time (38+ hours a week);Developer;FALSE
18-25;Female;Full-time (38+ hours a week);Software consultant ;FALSE
26-35;Male;Part-time (less than 38 hours a week);Tester;FALSE
26-35;Male;Full-time (38+ hours a week);Product owner;FALSE
26-35;Female;Full-time (38+ hours a week);Product owner;FALSE
26-35;Female;Full-time (38+ hours a week);Product owner;FALSE
26-35;Male;Full-time (38+ hours a week);Software consultant;TRUE
36-45;Female;Self-employed;Developer;FALSE
36-45;Male;Full-time (38+ hours a week);implementation consultant;FALSE
26-35;Female;Full-time (38+ hours a week);Product owner;FALSE
56-65;Female;Self-employed;ICT Consultant;FALSE
56-65;Male;Part-time (less than 38 hours a week);I do whatever needs doing so developer, architect, tester. agile coach and a lot more;TRUE
46-55;Male;Full-time (38+ hours a week);Product manager;TRUE
56-65;Male;Full-time (38+ hours a week);Architect;FALSE
36-45;Male;Full-time (38+ hours a week);Product manager;TRUE
;;;;
;;;;
56-65;Male;Full-time (38+ hours a week);Functional support ;TRUE
18-25;Female;Full-time (38+ hours a week);Functional analist;FALSE
46-55;Male;Full-time (38+ hours a week);Vice President;TRUE
26-35;Male;Full-time (38+ hours a week);Professor;TRUE
26-35;Male;Part-time (less than 38 hours a week);Architect;FALSE
36-45;Male;Unemployed (looking for a job);Product owner;TRUE
36-45;Male;Full-time (38+ hours a week);Integration Solution Consultant;TRUE
26-35;Male;Self-employed;Developer;FALSE
36-45;Male;Full-time (38+ hours a week);Developer;TRUE
18-25;Female;Unemployed (looking for a job);Consultant;FALSE
26-35;Male;Full-time (38+ hours a week);Developer;FALSE
26-35;Male;Part-time (less than 38 hours a week);Product owner;TRUE
46-55;Female;Full-time (38+ hours a week);Product manager;TRUE
36-45;Female;Full-time (38+ hours a week);Developer;FALSE
36-45;Male;Full-time (38+ hours a week);Developer;TRUE
36-45;Male;Full-time (38+ hours a week);Developer;TRUE
;;;;
46-55;Male;Full-time (38+ hours a week);Product owner;FALSE
56-65;Female;Part-time (less than 38 hours a week);Business information analist;FALSE
36-45;Male;Full-time (38+ hours a week);Product manager;FALSE
18-25;Female;Unemployed (looking for a job);Developer;FALSE
36-45;Female;Full-time (38+ hours a week);Product owner;TRUE
36-45;Male;Part-time (less than 38 hours a week);Developer;FALSE
36-45;Male;Full-time (38+ hours a week);Developer;FALSE
26-35;Female;Full-time (38+ hours a week);Scrum Master/Agile Coach;FALSE
26-35;Female;Unemployed (looking for a job);Architect;TRUE
56-65;Male;Full-time (38+ hours a week);Product manager;TRUE
Under the age of 18;Non-binary;Retired;Developer;FALSE
26-35;Female;Full-time (38+ hours a week);Developer;FALSE
26-35;Female;Part-time (less than 38 hours a week);Product manager;TRUE
26-35;Male;Full-time (38+ hours a week);Developer;TRUE
36-45;Male;Self-employed;Consultant;TRUE
46-55;Male;Full-time (38+ hours a week);Technical Support Officer;FALSE
26-35;Male;Full-time (38+ hours a week);Senior UX Designer;TRUE
26-35;Female;Full-time (38+ hours a week);Tester;FALSE
36-45;Female;Full-time (38+ hours a week);Tech and team lead;TRUE
26-35;Female;Part-time (less than 38 hours a week);Business Analyst ;TRUE
36-45;Male;Full-time (38+ hours a week);Project Manager;TRUE
26-35;Female;Full-time (38+ hours a week);Business Analyst/Product Owner;TRUE
26-35;Female;Full-time (38+ hours a week);Tester;FALSE
26-35;Male;Part-time (less than 38 hours a week);Developer;FALSE
26-35;Female;Full-time (38+ hours a week);Tester;FALSE
18-25;Male;Full-time (38+ hours a week);Product owner;FALSE
26-35;Male;Full-time (38+ hours a week);Developer;TRUE
36-45;Female;Full-time (38+ hours a week);Project manager;TRUE
