Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,Less than 2 years,26-35,Female,Netherlands,Bachelors degree,Full-time (38+ hours a week),Developer,501 - 1000,6 - 10,Rarely,Never,Rarely,Never,Never,Untrue,Neutral,Agree,no. never,one or two times,No,I am quite modest/introverted. and I feel that I need to behave more 'aggressive' or dominant to get heard sometimes.,I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Agree,Neutral,Strongly agree,Agree,Female,,no thank you
Yes,Less than 2 years,18-25,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Software consultant ,501 - 1000,1 - 5,Sometimes,Rarely,Sometimes,Never,Never,Untrue,Neutral,Agree,no. never,no. never,Nee,Dat klanten zich niet kunnen indenken met de impact van een software aanpassing ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Neutral,Agree,Neutral,,Nee ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,Netherlands,Bachelors degree,Part-time (less than 38 hours a week),Tester,501 - 1000,6 - 10,Very often,Sometimes,Very often,Sometimes,Very often,Untrue,Agree,Agree,no. never,no. never,No not really,the time it took to release the new software,I have experienced and witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Strongly agree,Neutral,,no,no thank you
Yes,Less than 2 years,26-35,Male,Netherlands,Masters degree,Full-time (38+ hours a week),Product owner,501 - 1000,16 - 20,Sometimes,Rarely,Rarely,Never,Never,Untrue,Agree,Agree,no. never,no. never,No,I think i've never experienced obstacles in the software industrie,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Agree,Non-binary,No,no thank you
Yes,Less than 2 years,26-35,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Product owner,501 - 1000,16 - 20,Sometimes,Rarely,Sometimes,Never,Rarely,Untrue,Agree,Agree,no. never,one or two times,No,Confincing developers of nu knowledge,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Neutral,Neutral,,No,no thank you
Yes,Less than 2 years,26-35,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Product owner,501 - 1000,16 - 20,Rarely,Rarely,Rarely,Rarely,Rarely,Untrue,Agree,Agree,one or two times,no. never,No,That some people challenge nu knowlegde,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Agree,Neutral,,No,no thank you
Yes,3-5 years,26-35,Male,Netherlands,Masters degree,Full-time (38+ hours a week),Software consultant,501 - 1000,16 - 20,Rarely,Never,Rarely,Never,Never,True,Neutral,Strongly agree,one or two times,no. never,no. not inside the company nor with clients,Translating the feedback of users to software development.,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Neutral,Strongly disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Female,India,Bachelors degree,Self-employed,Developer,10 - 100,1 - 5,Very often,Very often,Sometimes,Very often,Very often,Untrue,Neutral,Neutral,no. never,one or two times,"Yes. There is lots of politics in this industry. So there are unfair treatments going around especially when you are caught off guard I.e.. in a situation where a colleague is asking for information you think you are helping out a colleague but in fact they are using you to get ahead or pull you down - using your idea as theirs.

Some are favored more than others. So if a project idea is proposed then they will not approve it fearing that somebody else (their preferred person) will feel bad if they are not involved.

There is grunt work that needs to be done sometimes as a software developer - “cleaning up somebody else’s mess/shit”. Nobody wants to do this work. This is given to only one person to do it who might not complain initially. Following which all such work goes to this person by default.",I proposed an idea for a project and proposed that I will head a team to get it done. Just because some other team head will feel bad. the project was not given to me. It was given to a 3 rd team (from the mother company) and I was left to be an errand girl for that team.,I have experienced this behaviour,I have witnessed this behaviour,Disagree,Agree,Disagree,Agree,Female,Women in software are actually stronger and better leaders than men. Insecurities from men results in them trying to degrade women,Yes I would like to obtain a summary of the results
Yes,11-15 years,36-45,Male,Netherlands,Masters degree,Full-time (38+ hours a week),implementation consultant,501 - 1000,16 - 20,Rarely,Never,Rarely,Sometimes,Rarely,Untrue,Neutral,Strongly agree,no. never,More than four times,No,Working in a relatively flat organisation. it can be hard to climb the corporate ladder. ,I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Disagree,Agree,Strongly agree,Disagree,,No,no thank you
Yes,Less than 2 years,26-35,Female,Netherlands,Masters degree,Full-time (38+ hours a week),Product owner,501 - 1000,16 - 20,Rarely,Rarely,Rarely,Rarely,Rarely,Untrue,Agree,Agree,one or two times,no. never,No,That some people challenge nu knowlegde,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Agree,Neutral,,No,no thank you
